[17/11/21] [15:25:24] 66921 add 500 | res 500
[17/11/21] [15:26:04] 66921 remove 100 | res 400
[17/11/21] [15:26:13] 66921 remove 100 | res 300
[17/11/21] [15:26:18] 66921 add 200 | res 500
[17/11/21] [15:26:43] 66921 add 0 | res 500
[17/11/21] [15:27:28] 66921 remove 10 | res 490
[17/11/21] [15:27:32] 66921 remove 10 | res 480
[17/11/21] [15:28:04] 66921 remove 10 | res 470
[17/11/21] [15:28:16] 66921 add 30 | res 500
[17/11/21] [15:28:30] 66921 remove 100 | res 400
[17/11/21] [15:28:31] 66921 remove 10 | res 390
[17/11/21] [15:29:04] 66921 remove 100 | res 290
[17/11/21] [15:29:18] 66921 add 0 | res 290
[26/11/21] [18:43:56] 66928 add 5000 | res 5000
[26/11/21] [18:47:31] 66928 remove 250 | res 4750
[26/11/21] [18:48:10] 66928 add 0 | res 4750
[26/11/21] [18:48:23] 66928 remove 250 | res 4500
[26/11/21] [18:48:24] 66928 add 250 | res 4750
[26/11/21] [18:48:38] 66928 remove 250 | res 4500
[26/11/21] [18:48:39] 66928 add 250 | res 4750
[26/11/21] [18:49:13] 66928 remove 250 | res 4500
[26/11/21] [18:49:13] 66928 add 250 | res 4750
[26/11/21] [18:49:26] 66929 add 5000 | res 5000
[26/11/21] [18:49:59] 66929 remove 100 | res 4900
[26/11/21] [18:50:46] 66929 add 0 | res 4900
[26/11/21] [18:51:13] 66929 remove 1000 | res 3900
[26/11/21] [18:51:38] 66929 add 2000 | res 5900
[26/11/21] [18:51:46] 66929 remove 1000 | res 4900
[26/11/21] [18:52:30] 66929 add 0 | res 4900
[26/11/21] [18:52:45] 66929 remove 1000 | res 3900
[26/11/21] [18:53:22] 66929 add 2000 | res 5900
[26/11/21] [18:53:41] 66929 remove 1000 | res 4900
[26/11/21] [18:54:14] 66929 add 3000 | res 7900
[26/11/21] [18:54:21] 66929 remove 1000 | res 6900
[26/11/21] [18:54:42] 66929 add 1000 | res 7900
[26/11/21] [18:55:24] 66929 remove 250 | res 7650
[26/11/21] [18:55:32] 66929 remove 750 | res 6900
[26/11/21] [18:55:58] 66929 add 0 | res 6900
[26/11/21] [18:56:03] 66929 remove 1000 | res 5900
[26/11/21] [18:56:50] 66929 add 2000 | res 7900
[26/11/21] [18:57:04] 66929 remove 1000 | res 6900
[26/11/21] [18:57:42] 66929 add 2000 | res 8900
[26/11/21] [18:57:53] 66929 remove 1000 | res 7900
[26/11/21] [18:58:34] 66929 add 0 | res 7900
[26/11/21] [18:58:43] 66929 remove 1000 | res 6900
[26/11/21] [18:59:26] 66929 add 0 | res 6900
[26/11/21] [18:59:30] 66929 add 0 | res 6900
[26/11/21] [19:25:09] 66929 remove 6900 | res 0
[26/11/21] [20:34:53] 66949 add 1 | res 1
[26/11/21] [20:35:33] 66949 add 10000 | res 10001
[26/11/21] [20:36:02] 66949 add 0 | res 10001
[26/11/21] [20:36:40] 66949 remove 100 | res 9901
[26/11/21] [20:37:26] 66949 add 200 | res 10101
[26/11/21] [20:37:32] 66949 add 0 | res 10101
[28/11/21] [12:17:20] 66946 add 50 | res 50
[28/11/21] [12:17:35] 66946 add 49950 | res 50000
[28/11/21] [12:18:17] 66946 remove 100 | res 49900
[28/11/21] [12:18:56] 66946 add 0 | res 49900
[28/11/21] [12:18:56] 66946 add 0 | res 49900
[02/12/21] [13:49:22] 66947 add 1000 | res 1000
[02/12/21] [13:50:11] 66947 remove 500 | res 500
[02/12/21] [13:50:20] 66947 remove 500 | res 0
[02/12/21] [13:50:25] 66947 add 1000 | res 1000
[02/12/21] [13:50:45] 66947 remove 10 | res 990
[02/12/21] [13:50:56] 66947 remove 10 | res 980
[02/12/21] [13:51:26] 66947 remove 10 | res 970
[02/12/21] [13:51:33] 66947 add 80 | res 1050
[09/12/21] [18:59:50] 2 add 1000 | res 1000
[09/12/21] [19:00:33] 2 remove 100 | res 900
[09/12/21] [19:00:45] 2 remove 250 | res 650
[09/12/21] [19:01:20] 2 add 0 | res 650
[09/12/21] [19:01:35] 2 remove 100 | res 550
[09/12/21] [19:02:12] 2 add 0 | res 550
[09/12/21] [19:02:25] 2 remove 250 | res 300
[09/12/21] [19:02:32] 2 remove 100 | res 200
[09/12/21] [19:03:04] 2 add 300 | res 500
[09/12/21] [19:03:12] 2 remove 250 | res 250
[09/12/21] [19:03:23] 2 remove 100 | res 150
[09/12/21] [19:03:56] 2 add 0 | res 150
[09/12/21] [19:04:09] 2 remove 100 | res 50
[09/12/21] [19:04:48] 2 add 0 | res 50
[09/12/21] [19:04:53] 2 add 0 | res 50
[09/12/21] [19:05:11] 2 remove 10 | res 40
[09/12/21] [19:05:15] 2 remove 10 | res 30
[09/12/21] [19:05:59] 2 add 0 | res 30
[09/12/21] [19:06:05] 2 remove 10 | res 20
[09/12/21] [19:06:06] 2 remove 10 | res 10
[09/12/21] [19:06:40] 2 remove 10 | res 0
[09/12/21] [19:06:53] 2 add 0 | res 0
